Search keyword report
All time
Device,Keyword status,Keyword,Match type,Status,Status reasons,Conversions,Currency code,Cost / conv.,Policy details,Final URL,Mobile final URL,Clicks,Impr.,CTR,Avg. CPC,Cost,Conv. rate
Computers,Enabled,jobs for international students in usa,Broad match,Eligible,,1.40,USD,36.59,Approved,https://mentorx.net/campus-consulting/,,9,587,1.53%,5.69,51.22,15.56%
TV screens,Enabled,jobs for international students in usa,Broad match,Eligible,,0.00,USD,0.00,Approved,https://mentorx.net/campus-consulting/,,0,0, --, --,0.00,0.00%
Mobile phones,Enabled,f1 opt jobs,Broad match,Limited,low quality,0.00,USD,0.00,Approved,https://mentorx.net/campus-matters-internship/,,5,194,2.58%,2.54,12.71,0.00%
Tablets,Enabled,f1 opt jobs,Broad match,Limited,low quality,0.00,USD,0.00,Approved,https://mentorx.net/campus-matters-internship/,,0,17,0.00%, --,0.00,0.00%
TV screens,Enabled,Entry Level Data,Broad match,Limited,low quality,0.00,USD,0.00,Approved,https://mentorx.net/campus-consulting/,,0,0, --, --,0.00,0.00%
Computers,Enabled,business intern,Broad match,Limited,low quality,3.00,USD,30.39,Approved,,,11,709,1.55%,8.29,91.16,27.27%
Computers,Enabled,career internship,Broad match,Limited,low quality,30.20,USD,46.44,Approved,https://mentorx.net/campus-consulting/,,257,"10,921",2.35%,5.46,1402.48,11.75%
TV screens,Enabled,program internship,Broad match,Eligible,,0.00,USD,0.00,Approved,https://mentorx.net/campus-consulting/,,0,0, --, --,0.00,0.00%
Mobile phones,Enabled,irvine internship,Broad match,Limited,low quality,0.00,USD,0.00,Approved,,,0,4,0.00%, --,0.00,0.00%
TV screens,Enabled,computer science internship opportunities,Broad match,Eligible,,0.00,USD,0.00,Approved,https://mentorx.net/campus-consulting/,,0,0, --, --,0.00,0.00%
Computers,Enabled,it summer internship,Broad match,Eligible,,3.00,USD,6.02,Approved,,,3,141,2.13%,6.02,18.06,100.00%
TV screens,Enabled,internship agency,Broad match,Eligible,,0.00,USD,0.00,Approved,http://mentorx.net/top-company-refer/,,0,0, --, --,0.00,0.00%
TV screens,Enabled,mechanical internships,Broad match,Eligible,,0.00,USD,0.00,Approved,,,0,0, --, --,0.00,0.00%
TV screens,Enabled,accounting paid internships,Broad match,Eligible,,0.00,USD,0.00,Approved,,,0,0, --, --,0.00,0.00%
Computers,Enabled,software development intern,Broad match,Limited,low quality,1.00,USD,48.12,Approved,https://mentorx.net/campus-consulting/,,9,"1,045",0.86%,5.35,48.12,11.11%
Computers,Enabled,gap year internship programs,Broad match,Eligible,,0.00,USD,0.00,Approved,,,0,5,0.00%, --,0.00,0.00%
TV screens,Enabled,accountant internship jobs,Broad match,Eligible,,0.00,USD,0.00,Approved,,,0,0, --, --,0.00,0.00%
Computers,Enabled,top company refer,Broad match,Not eligible,rarely served,0.00,USD,0.00,Approved,https://mentorx.net/campus-consulting/,,0,0, --, --,0.00,0.00%
TV screens,Enabled,top company refer,Broad match,Not eligible,rarely served,0.00,USD,0.00,Approved,https://mentorx.net/campus-consulting/,,0,0, --, --,0.00,0.00%
Computers,Enabled,data internship,Broad match,Limited,low quality,0.40,USD,103.70,Approved,https://mentorx.net/campus-consulting/,,10,811,1.23%,4.15,41.48,4.00%
Tablets,Enabled,mba graduate internship,Broad match,Eligible,,0.00,USD,0.00,Approved,,,0,0, --, --,0.00,0.00%
Mobile phones,Enabled,company intern,Broad match,Eligible,,0.00,USD,0.00,Approved,,,1,41,2.44%,5.33,5.33,0.00%
TV screens,Enabled,company intern,Broad match,Eligible,,0.00,USD,0.00,Approved,,,0,0, --, --,0.00,0.00%
Mobile phones,Enabled,coding interview course,Broad match,Eligible,,0.00,USD,0.00,Approved,https://mentorx.net/campus-consulting/,,1,156,0.64%,5.05,5.05,0.00%
Mobile phones,Enabled,internships for mba students,Broad match,Eligible,,0.00,USD,0.00,Approved,,,0,21,0.00%, --,0.00,0.00%
TV screens,Enabled,accounting internship program,Broad match,Eligible,,0.00,USD,0.00,Approved,,,0,0, --, --,0.00,0.00%
Mobile phones,Enabled,cracking the coding interview course,Broad match,Eligible,,0.00,USD,0.00,Approved,,,1,4,25.00%,0.94,0.94,0.00%
Computers,Enabled,sql course,Broad match,Limited,low quality,0.00,USD,0.00,Approved,https://mentorx.net/campus-consulting/,,2,892,0.22%,3.87,7.74,0.00%
Mobile phones,Enabled,sql course,Broad match,Limited,low quality,1.00,USD,20.06,Approved,https://mentorx.net/campus-consulting/,,7,"3,855",0.18%,2.87,20.06,14.29%
TV screens,Enabled,sql course,Broad match,Limited,low quality,0.00,USD,0.00,Approved,https://mentorx.net/campus-consulting/,,0,0, --, --,0.00,0.00%
Tablets,Enabled,Prepare for technical interviews,Broad match,Eligible,,0.00,USD,0.00,Approved,https://mentorx.net/campus-consulting/,,0,40,0.00%, --,0.00,0.00%
Tablets,Enabled,SQL project,Broad match,Limited,low quality,0.00,USD,0.00,Approved,https://mentorx.net/campus-consulting/,,0,6,0.00%, --,0.00,0.00%
TV screens,Enabled,SQL project,Broad match,Limited,low quality,0.00,USD,0.00,Approved,https://mentorx.net/campus-consulting/,,0,0, --, --,0.00,0.00%
TV screens,Enabled,paid internships for undergraduates,Broad match,Eligible,,0.00,USD,0.00,Approved,https://mentorx.net/campus-consulting/,,0,0, --, --,0.00,0.00%
Computers,Enabled,internship programs for engineering students,Broad match,Eligible,,0.00,USD,0.00,Approved,,,0,52,0.00%, --,0.00,0.00%
Tablets,Enabled,stem internships,Broad match,Limited,low quality,0.00,USD,0.00,Approved,,,2,12,16.67%,3.27,6.53,0.00%
Computers,Enabled,h1b f1,Broad match,Eligible,,1.00,USD,29.36,Approved,,,3,105,2.86%,9.79,29.36,33.33%
Mobile phones,Enabled,opportunities for internships,Broad match,Limited,low quality,23.50,USD,35.58,Approved,https://mentorx.net/campus-consulting/,,251,"5,696",4.41%,3.33,836.21,9.36%
TV screens,Enabled,Youtube interview,Broad match,Eligible,,0.00,USD,0.00,Approved,https://mentorx.net/campus-consulting/,,0,0, --, --,0.00,0.00%
TV screens,Enabled,internships for gap year students,Broad match,Eligible,,0.00,USD,0.00,Approved,https://mentorx.net/campus-consulting/,,0,0, --, --,0.00,0.00%
TV screens,Enabled,data scientist internship,Broad match,Limited,low quality,0.00,USD,0.00,Approved,https://mentorx.net/campus-consulting/,,0,0, --, --,0.00,0.00%
TV screens,Enabled,internship for 2022,Broad match,Limited,low quality,0.00,USD,0.00,Approved,,,0,0, --, --,0.00,0.00%
TV screens,Enabled,economics internships jobs,Broad match,Eligible,,0.00,USD,0.00,Approved,https://mentorx.net/campus-consulting/,,0,0, --, --,0.00,0.00%
Mobile phones,Enabled,software developer internships,Broad match,Eligible,,1.00,USD,5.87,Approved,,,2,88,2.27%,2.94,5.87,50.00%
Tablets,Enabled,software developer internships,Broad match,Eligible,,1.00,USD,4.82,Approved,,,1,8,12.50%,4.82,4.82,100.00%
TV screens,Enabled,software developer internships,Broad match,Eligible,,0.00,USD,0.00,Approved,,,0,0, --, --,0.00,0.00%
Tablets,Enabled,best internship,Broad match,Limited,low quality,2.00,USD,7.60,Approved,https://mentorx.net/campus-consulting/,,3,156,1.92%,5.07,15.20,66.67%
TV screens,Enabled,paid internships for undergraduate students,Broad match,Eligible,,0.00,USD,0.00,Approved,,,0,0, --, --,0.00,0.00%
Computers,Enabled,sophomore summer internships,Broad match,Eligible,,0.00,USD,0.00,Approved,,,4,95,4.21%,5.25,21.00,0.00%
Mobile phones,Enabled,science internships summer 2021,Broad match,Eligible,,0.00,USD,0.00,Approved,,,0,0, --, --,0.00,0.00%
Mobile phones,Enabled,Entry Level Data,Broad match,Limited,low quality,3.50,USD,44.73,Approved,https://mentorx.net/campus-consulting/,,51,"3,031",1.68%,3.07,156.55,6.86%
TV screens,Enabled,business intern,Broad match,Limited,low quality,0.00,USD,0.00,Approved,,,0,0, --, --,0.00,0.00%
